SEXO,IDADE,FX_ID,RACA,ESCOLARI,P1,P2,P3,P4,P5A,P5B,P5C,P5D,P5E,P5F,P5G,P5H,P5I,P6_1,P6_2,P6_3,P6_4,P6_5,P6_6,P6_7,P6_8,P6_9,P6_10,P7_1,P7_2,P7_3,P7_4,P7_5,P7_6,P8_1,P8_2,P8_3,P8_4,P8_5,P8_6,P8_7,P8_8,P8_9,P8_10,P8_11,P8_12,P8_13,P9_1,P9_2,P9_3,P10,P11,P12,P13_1,P13_2,P13_3,P13_4,P13_5,P13_6,P13_7,P13_8,P14_1,P14_2,P14_3,P14_4,P14_5,P14_6,P14_7,P15A,P15B,P15C,P15D,P15E,P15F,P15G,P16_1,P16_2,P16_3,P16_4,P16_5,P16_6,P16_7,P17_1,P17_2,P17_3,P17_4,P17_5,P18_1,P18_2,P18_3,P18_4,P18_5,P18_6,P19A,P19B,P19C,P19D,P19E,P20_1,P20_2,P20_3,P20_4,P20_5,P20_6,P20_7,P20_8,P20_9,P21A,P21B,P21C,P21D,P21E,P21F,P22_1,P22_2,P22_3,P23,P24A,P24B,P24C,P24D,P25,P26_1,P26_2,P26_3,P26_4,P26_5,P26_6,P26_7,P_PCD_1,P_PCD_2,P_PCD_3,P_ORIENT,P_POLITI,RELIGIAO,REND1,REND2,UF,MUNI,REGIAO,COND,PORTE,ID_IPEC,DATA_ENT
1,25,2,1,14,4,1,1,2,5,5,5,5,5,5,4,5,5,,,,,,,,,,,1,,,,,,1,2,3,,,,,,,,,,,1,2,4,5,4,2,1,7,,,,,,,2,3,,,,,,,1,1,,,,,1,,,,,,,97,,,,,,,,,,,2,4,5,5,4,97,,,,,,,,,2,2,1,1,1,2,97,,,1,2,1,1,2,2,1,7,,,,,,4,,,1,3,20,5,5,27,2704302,2,1,7,182994764,13900896000
1,40,3,2,16,1,2,1,3,1,5,5,5,5,5,5,5,5,,,,,,,,,,,1,,,,,,1,5,,,,,,,,,,,,1,3,8,1,2,2,1,4,,,,,,,1,2,3,4,5,,,1,1,1,1,1,,,5,,,,,,,97,,,,,,,,,,,1,1,5,5,1,97,,,,,,,,,2,1,1,1,2,2,1,,,1,1,1,1,1,1,1,7,,,,,,4,,,1,3,2,3,2,52,5208707,5,1,7,182994786,13900896000
1,25,2,1,16,2,2,2,99,4,5,5,5,5,5,5,5,5,,,,,,,,,,,1,5,,,,,1,2,4,,,,,,,,,,,1,6,8,1,4,2,1,2,3,,,,,,2,3,4,,,,,,1,1,1,,,,1,2,3,4,5,6,7,97,,,,,,,,,,,1,1,1,1,1,1,2,3,4,5,6,7,8,9,1,1,2,1,1,2,97,,,1,2,2,2,2,2,1,2,3,4,5,6,7,4,,,1,4,1,4,3,35,3543402,3,3,7,182994833,13900896000
2,27,2,2,14,3,3,2,1,2,2,5,2,4,4,4,5,5,3,5,7,,,,,,,,1,3,6,,,,1,2,3,,,,,,,,,,,1,97,,1,99,2,4,6,,,,,,,1,,,,,,,1,,,,,,,1,3,,,,,,1,2,,,,1,,,,,,2,2,2,2,2,6,,,,,,,,,1,1,1,1,1,1,1,,,1,1,1,1,1,2,1,3,5,,,,,4,,,3,3,1,5,4,17,1720903,1,3,3,182994933,13900896000
1,43,3,3,11,1,2,2,1,5,5,5,1,1,5,5,1,5,,,,,,,,,,,1,3,,,,,1,4,6,8,,,,,,,,,,1,2,3,1,1,2,1,,,,,,,,1,,,,,,,1,,,,,,,97,,,,,,,97,,,,,,,,,,,1,1,5,5,5,1,6,,,,,,,,1,2,1,1,1,2,97,,,1,1,1,1,1,2,99,,,,,,,4,,,1,3,1,5,5,11,1100130,1,3,4,182994982,13900896000
1,25,2,1,15,1,2,2,3,1,5,5,1,5,5,5,5,5,,,,,,,,,,,1,4,,,,,2,,,,,,,,,,,,,7,1,8,1,4,2,1,,,,,,,,3,,,,,,,,,3,,,,,1,2,,,,,,97,,,,,,,,,,,1,1,1,5,5,4,6,7,,,,,,,1,1,1,1,1,1,4,,,1,2,1,1,1,2,3,6,7,,,,,2,,,1,2,11,4,3,11,1100130,1,3,4,182994983,13900896000
2,67,5,3,11,2,1,3,1,5,5,5,5,5,5,5,5,5,,,,,,,,,,,99,,,,,,97,,,,,,,,,,,,,1,97,,5,99,1,4,5,,,,,,,2,3,5,,,,,,2,3,,1,,,2,3,6,,,,,97,,,,,,,,,,,2,5,5,5,1,6,8,,,,,,,,1,1,1,1,1,1,97,,,1,1,1,1,2,2,3,7,,,,,,4,,,99,3,1,4,3,33,3302007,3,2,6,182995014,13900809600
1,27,2,2,14,3,2,3,2,1,1,5,1,5,3,2,5,5,5,,,,,,,,,,1,5,,,,,1,2,3,4,,,,,,,,,,1,6,3,4,4,2,1,2,4,8,,,,,3,4,,,,,,,,1,1,,,,1,2,3,4,5,6,7,1,,,,,1,,,,,,1,1,1,5,2,97,,,,,,,,,2,2,2,2,2,2,97,,,1,1,1,2,2,1,1,3,6,7,,,,4,,,1,2,18,5,4,33,3302007,3,2,6,182995015,13900809600
2,27,2,3,12,1,2,2,1,2,5,5,1,5,5,1,1,5,,,,,,,,,,,1,4,,,,,1,3,4,5,,,,,,,,,,1,8,3,5,3,2,1,6,,,,,,,1,2,,,,,,1,1,,,,,,1,6,7,,,,,4,,,,,99,,,,,,2,1,1,5,1,6,,,,,,,,,1,1,1,1,1,1,97,,,1,2,1,1,2,1,3,4,5,,,,,4,,,3,4,11,5,5,33,3302007,3,2,6,182995016,13900809600
2,45,4,3,15,1,1,1,1,1,5,5,5,5,5,4,2,5,,,,,,,,,,,1,4,,,,,1,4,,,,,,,,,,,,1,8,3,1,4,2,1,4,7,,,,,,1,2,3,4,,,,1,1,1,1,,,,1,6,,,,,,2,,,,,10,,,,,,1,1,2,5,1,6,8,,,,,,,,1,1,1,1,1,1,97,,,1,2,2,1,98,2,4,7,,,,,,4,,,1,3,11,6,6,33,3302007,3,2,6,182995017,13900809600
1,69,5,3,11,3,1,1,3,4,2,5,5,5,99,5,5,5,99,,,,,,,,,,3,,,,,,8,,,,,,,,,,,,,10,1,6,5,2,2,3,4,,,,,,,2,3,,,,,,,3,1,,,,,3,,,,,,,2,,,,,2,,,,,,1,1,1,2,1,3,4,,,,,,,,2,2,2,2,2,2,97,,,1,1,1,2,1,2,2,6,,,,,,4,,,99,4,11,5,5,33,3302007,3,2,6,182995018,13900809600
2,45,4,1,11,97,3,2,3,3,4,3,2,5,5,3,5,3,,,,,,,,,,,1,2,3,4,5,6,1,6,8,,,,,,,,,,,1,8,7,3,4,2,1,4,8,,,,,,1,2,3,4,,,,99,99,99,99,,,,97,,,,,,,97,,,,,,,,,,,2,2,2,4,4,97,,,,,,,,,98,2,98,98,98,98,97,,,1,98,2,98,98,2,97,,,,,,,4,,,1,4,13,4,4,33,3302007,3,2,6,182995019,13900809600
2,41,3,3,16,2,1,1,1,1,1,5,5,5,5,1,2,5,5,,,,,,,,,,1,2,3,4,5,6,1,2,3,4,5,6,8,9,11,12,13,,,1,4,8,1,99,1,1,2,3,4,5,6,7,8,8,,,,,,,,,,,,,,1,2,3,4,5,6,7,97,,,,,,,,,,,1,1,1,2,2,97,,,,,,,,,2,1,1,1,1,1,97,,,1,2,2,98,2,1,1,2,3,4,5,6,7,4,,,1,4,19,5,3,29,2929909,2,3,4,182995023,13900896000
2,70,5,3,4,1,2,4,3,1,4,5,99,2,5,5,2,5,,,,,,,,,,,99,,,,,,99,,,,,,,,,,,,,1,99,,1,4,2,99,,,,,,,,8,,,,,,,,,,,,,,1,,,,,,,97,,,,,,,,,,,1,1,1,5,1,99,,,,,,,,,98,1,1,1,1,1,97,,,1,1,2,1,98,2,99,,,,,,,4,,,1,4,2,6,5,51,5101258,5,3,3,182995040,13900896000
2,27,2,3,16,2,2,2,1,1,5,5,2,2,4,5,1,5,,,,,,,,,,,5,,,,,,5,,,,,,,,,,,,,1,3,8,1,4,2,2,,,,,,,,3,,,,,,,,,2,,,,,1,,,,,,,97,,,,,,,,,,,2,1,4,1,1,6,,,,,,,,,1,1,1,1,1,1,97,,,1,1,1,1,2,2,3,,,,,,,4,,,1,2,20,6,5,51,5101258,5,3,3,182995041,13900896000
1,36,3,3,14,2,2,2,3,2,5,5,5,99,5,5,5,5,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,8,3,1,4,2,2,,,,,,,,2,3,,,,,,,2,1,,,,,1,,,,,,,97,,,,,,,,,,,2,2,5,5,1,99,,,,,,,,,1,1,1,1,1,1,97,,,1,1,2,1,2,2,1,,,,,,,4,,,1,2,1,4,4,51,5101258,5,3,3,182995042,13900896000
1,56,4,3,4,1,2,2,1,5,5,5,5,5,5,5,5,5,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,8,1,2,5,4,2,1,,,,,,,,1,,,,,,,3,,,,,,,1,,,,,,,1,,,,,4,,,,,,1,1,5,1,5,1,,,,,,,,,2,1,1,1,1,1,97,,,1,1,1,1,1,2,1,,,,,,,4,,,1,1,18,5,5,51,5101258,5,3,3,182995043,13900896000
1,51,4,3,8,99,99,3,3,1,5,5,1,1,1,1,5,2,,,,,,,,,,,4,,,,,,2,,,,,,,,,,,,,1,8,2,5,4,2,4,,,,,,,,1,,,,,,,3,,,,,,,1,,,,,,,97,,,,,,,,,,,1,1,1,5,1,1,,,,,,,,,1,1,1,1,1,2,97,,,1,1,98,98,1,2,2,,,,,,,4,,,1,3,2,6,6,51,5101258,5,3,3,182995044,13900896000
2,54,4,1,16,1,3,2,1,1,99,5,1,99,99,1,1,2,,,,,,,,,,,6,,,,,,6,,,,,,,,,,,,,1,3,4,1,4,1,1,,,,,,,,6,,,,,,,,,,,,1,,1,3,4,5,,,,97,,,,,,,,,,,1,1,1,1,1,1,2,5,,,,,,,1,1,1,1,1,1,97,,,1,2,2,2,2,1,1,6,7,,,,,4,,,1,2,16,5,5,35,3522109,3,3,5,182995176,13900896000
1,76,5,1,8,1,2,2,1,2,5,5,5,4,4,5,5,5,,,,,,,,,,,4,5,,,,,1,2,3,5,13,,,,,,,,,1,2,4,1,4,2,1,2,,,,,,,2,,,,,,,,2,,,,,,1,2,,,,,,97,,,,,,,,,,,1,1,2,2,1,97,,,,,,,,,1,1,1,1,1,1,97,,,1,1,1,1,2,2,2,7,,,,,,4,,,1,3,1,6,6,43,4318002,4,3,5,182995346,13900896000
1,73,5,2,8,1,3,2,1,1,5,5,5,99,99,5,5,5,,,,,,,,,,,4,,,,,,1,2,4,,,,,,,,,,,1,3,8,4,3,2,1,6,,,,,,,1,4,7,,,,,1,,,1,,,1,1,3,4,,,,,97,,,,,,,,,,,1,1,4,1,1,1,2,3,7,8,,,,,1,1,1,1,1,98,97,,,3,2,2,2,1,2,3,,,,,,,4,,,1,3,20,3,3,50,5003306,5,3,4,182995358,13900896000
2,47,4,3,9,6,2,2,1,1,5,5,1,1,99,1,5,5,,,,,,,,,,,1,6,,,,,3,13,,,,,,,,,,,,1,3,99,1,3,2,1,5,,,,,,,1,7,,,,,,1,,,,,,1,5,,,,,,,97,,,,,,,,,,,1,1,1,4,1,97,,,,,,,,,2,2,2,2,2,2,97,,,1,2,1,1,2,2,1,4,7,,,,,2,,,1,4,1,6,6,50,5003306,5,3,4,182995359,13900896000
2,73,5,2,1,1,3,3,1,1,1,5,1,99,99,1,1,1,2,,,,,,,,,,1,,,,,,1,2,4,,,,,,,,,,,1,3,2,4,1,2,4,,,,,,,,8,,,,,,,,,,,,,,1,2,3,4,,,,99,,,,,,,,,,,5,1,1,5,98,97,,,,,,,,,98,1,1,1,1,1,97,,,1,1,1,1,1,2,6,,,,,,,4,,,1,4,2,6,6,50,5003306,5,3,4,182995360,13900896000
2,55,4,2,1,2,2,2,1,1,5,5,5,99,99,5,5,5,,,,,,,,,,,1,,,,,,1,2,,,,,,,,,,,,1,4,99,3,3,2,4,,,,,,,,1,3,,,,,,1,,1,,,,,1,3,,,,,,97,,,,,,,,,,,98,1,1,1,1,97,,,,,,,,,1,1,1,1,1,1,97,,,1,1,2,2,1,2,99,,,,,,,4,,,1,4,1,6,5,50,5003306,5,3,4,182995361,13900896000
2,42,3,2,8,1,1,2,2,1,5,5,99,5,5,5,5,5,,,,,,,,,,,1,,,,,,5,,,,,,,,,,,,,1,3,8,3,4,2,1,7,,,,,,,2,,,,,,,,3,,,,,,1,,,,,,,97,,,,,,,,,,,1,1,1,4,4,97,,,,,,,,,1,1,1,1,1,1,97,,,1,1,1,1,1,1,1,,,,,,,4,,,1,4,1,6,6,29,2913606,2,3,6,182995682,13900896000
2,18,1,3,14,4,2,2,2,1,5,5,1,5,5,1,1,5,,,,,,,,,,,1,2,3,4,5,6,1,4,5,6,13,,,,,,,,,2,1,6,1,4,2,1,4,7,8,,,,,1,2,3,4,5,6,,1,2,1,1,2,2,,1,2,3,5,6,7,,97,,,,,,,,,,,1,1,1,5,1,97,,,,,,,,,1,1,1,1,1,1,97,,,1,2,2,2,2,2,4,5,7,,,,,3,,,1,4,1,98,5,35,3537404,3,3,4,182995708,13900896000
1,30,2,3,15,2,2,2,1,2,5,5,5,5,5,2,5,5,,,,,,,,,,,1,,,,,,3,5,11,,,,,,,,,,,1,3,4,1,3,2,1,4,7,,,,,,2,3,4,,,,,,2,2,2,,,,1,2,6,,,,,1,2,,,,2,,,,,,5,4,5,2,1,1,3,6,8,,,,,,2,1,1,1,2,2,97,,,1,2,1,1,1,1,1,7,,,,,,4,,,1,2,1,4,3,26,2611606,2,1,7,182995740,13900896000
2,72,5,3,1,1,2,2,1,1,5,4,5,5,5,5,5,4,,,,,,,,,,,99,,,,,,1,4,,,,,,,,,,,,1,3,99,1,4,2,1,7,,,,,,,8,,,,,,,,,,,,,,1,6,,,,,,97,,,,,,,,,,,1,1,2,2,2,99,,,,,,,,,1,1,1,1,1,2,97,,,1,1,2,1,2,2,7,,,,,,,3,,,1,3,1,6,6,21,2106003,2,3,3,182995854,13900896000
1,57,4,3,14,4,2,2,1,1,1,5,1,5,99,5,5,5,2,,,,,,,,,,1,,,,,,1,5,,,,,,,,,,,,1,3,4,5,1,2,1,3,4,,,,,,2,,,,,,,,1,,,,,,2,3,,,,,,97,,,,,,,,,,,1,1,1,5,1,4,,,,,,,,,1,1,1,1,1,1,97,,,1,2,1,1,1,2,1,,,,,,,4,,,1,3,1,5,4,24,2408102,2,1,7,182995965,13900896000
2,45,4,3,11,1,1,2,1,2,4,4,1,4,4,5,4,4,,,,,,,,,,,1,3,4,,,,1,2,3,,,,,,,,,,,1,4,7,5,4,1,1,4,,,,,,,1,2,3,,,,,1,1,1,,,,,1,6,,,,,,1,2,3,5,,7,8,10,,,,5,1,1,2,1,2,3,4,,,,,,,98,1,1,1,1,98,99,,,1,1,98,1,1,2,1,2,3,5,,,,4,,,99,4,1,6,6,24,2408102,2,1,7,182995966,13900896000
2,65,5,1,12,1,2,2,3,1,5,4,1,1,1,2,2,4,,,,,,,,,,,1,6,,,,,1,2,4,13,,,,,,,,,,1,7,8,5,3,2,1,4,5,6,7,,,,2,5,,,,,,,1,,,2,,,1,3,5,6,7,,,97,,,,,,,,,,,1,1,1,2,1,3,6,7,9,,,,,,1,1,1,1,1,98,97,,,1,2,2,2,1,2,1,2,3,4,7,,,2,,,1,1,1,6,5,24,2408102,2,1,7,182995967,13900896000
2,52,4,2,10,1,2,2,1,2,5,5,5,5,5,5,5,5,,,,,,,,,,,4,5,,,,,1,3,6,,,,,,,,,,,1,8,3,5,4,2,1,7,,,,,,,2,6,,,,,,,1,,,,2,,1,7,,,,,,2,,,,,2,,,,,,1,1,1,5,2,2,7,,,,,,,,1,1,1,1,1,2,97,,,1,2,1,1,1,2,1,3,7,,,,,3,,,4,4,4,98,5,33,3301702,3,2,7,182996223,13900896000
1,82,5,3,11,6,1,2,3,2,5,4,5,99,99,99,1,5,,,,,,,,,,,5,,,,,,2,5,,,,,,,,,,,,3,1,8,1,4,2,1,,,,,,,,1,,,,,,,2,,,,,,,5,7,,,,,,97,,,,,,,,,,,4,98,98,4,1,3,,,,,,,,,2,98,1,2,1,98,97,,,1,1,1,1,98,2,1,,,,,,,4,,,99,4,1,5,4,33,3301702,3,2,7,182996224,13900896000
1,62,5,2,14,4,2,2,1,1,2,5,1,5,5,1,1,5,2,,,,,,,,,,6,,,,,,1,2,4,,,,,,,,,,,1,4,2,5,4,1,1,4,5,7,,,,,1,3,,,,,,2,,2,,,,,1,6,,,,,,2,,,,,4,,,,,,1,1,1,5,1,97,,,,,,,,,1,1,1,1,1,1,97,,,1,2,2,2,2,2,3,,,,,,,4,,,1,4,10,4,4,24,2408102,2,1,7,182996313,13900896000
2,46,4,1,16,3,2,2,3,2,5,5,2,99,4,2,4,4,,,,,,,,,,,1,2,,,,,1,3,4,,,,,,,,,,,1,2,3,2,3,2,1,,,,,,,,2,,,,,,,,2,,,,,,1,2,3,4,,,,97,,,,,,,,,,,2,2,2,2,2,97,,,,,,,,,1,1,1,1,1,1,97,,,1,1,1,1,98,2,1,3,4,,,,,4,,,1,1,1,98,5,17,1720903,1,3,3,182996363,13900896000
1,26,2,1,14,4,2,1,3,5,2,5,1,5,5,2,5,5,3,,,,,,,,,,1,2,3,4,5,6,1,,,,,,,,,,,,,8,3,6,3,99,2,97,,,,,,,,1,2,3,4,5,6,7,1,1,1,1,1,1,1,1,2,3,4,5,6,7,97,,,,,,,,,,,3,4,5,3,4,97,,,,,,,,,98,2,1,98,2,2,97,,,2,1,1,98,1,1,97,,,,,,,4,,,1,4,19,3,2,35,3522109,3,3,5,182996678,13900896000
1,17,1,2,14,2,1,1,1,1,1,5,1,5,5,5,1,5,2,5,,,,,,,,,5,,,,,,1,5,,,,,,,,,,,,1,8,3,1,4,2,1,3,,,,,,,2,,,,,,,,2,,,,,,1,3,,,,,,97,,,,,,,,,,,1,1,1,1,1,6,,,,,,,,,2,2,1,1,2,2,97,,,1,1,1,1,1,2,1,,,,,,,4,,,1,3,10,98,6,52,5208707,5,1,7,182996823,13900896000
2,76,5,1,1,1,2,3,2,1,1,1,5,1,1,5,1,5,9,,,,,,,,,,6,,,,,,1,,,,,,,,,,,,,1,99,,5,4,2,4,,,,,,,,8,,,,,,,,,,,,,,97,,,,,,,97,,,,,,,,,,,5,1,4,1,98,97,,,,,,,,,1,1,1,1,1,98,97,,,1,2,1,1,1,2,1,,,,,,,3,,,99,1,1,6,5,23,2301901,2,3,5,182997084,13900896000
1,37,3,3,14,4,2,2,1,5,5,4,5,5,5,1,5,5,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,8,3,5,3,2,1,,,,,,,,2,,,,,,,,2,,,,,,6,,,,,,,97,,,,,,,,,,,5,1,2,4,1,1,,,,,,,,,1,1,1,1,1,1,97,,,1,2,2,2,2,2,6,,,,,,,4,,,1,2,1,98,6,23,2301901,2,3,5,182997085,13900896000
2,31,2,3,5,1,2,2,1,1,1,5,5,1,5,1,5,1,2,3,8,,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,2,4,5,4,1,1,,,,,,,,1,,,,,,,2,,,,,,,2,,,,,,,1,,,,,2,,,,,,4,1,5,5,1,1,,,,,,,,,1,1,1,1,1,1,97,,,1,2,2,2,2,2,1,,,,,,,3,,,99,1,1,6,6,23,2301901,2,3,5,182997086,13900896000
1,26,2,3,16,1,2,2,1,2,5,5,1,5,5,5,5,5,,,,,,,,,,,5,,,,,,1,5,13,,,,,,,,,,,1,8,2,5,4,1,8,,,,,,,,6,,,,,,,,,,,,1,,5,,,,,,,2,5,,,,1,,,,,,5,2,5,5,1,5,8,,,,,,,,1,1,1,1,1,1,97,,,1,1,1,1,1,1,1,3,5,,,,,4,,,1,4,1,6,4,23,2301901,2,3,5,182997087,13900896000
1,46,4,3,14,1,2,2,1,2,4,4,5,4,2,4,4,5,,,,,,,,,,,99,,,,,,1,,,,,,,,,,,,,7,99,,99,1,2,4,,,,,,,,99,,,,,,,,,,,,,,6,,,,,,,97,,,,,,,,,,,2,1,2,2,2,99,,,,,,,,,1,1,1,1,1,1,97,,,1,1,1,1,1,2,99,,,,,,,4,,,99,3,1,6,5,23,2301901,2,3,5,182997088,13900896000
1,29,2,1,14,1,2,2,1,1,4,5,5,5,5,5,5,5,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,3,4,5,4,2,1,,,,,,,,1,2,3,4,5,,,1,1,1,1,1,,,3,,,,,,,97,,,,,,,,,,,1,1,1,5,1,1,,,,,,,,,1,1,1,1,1,1,97,,,1,1,98,98,98,2,99,,,,,,,4,,,1,4,2,5,4,51,5101258,5,3,3,182997143,13900896000
1,58,4,3,11,4,2,2,1,1,99,99,1,99,99,2,99,99,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,1,8,97,1,4,1,1,4,7,,,,,,99,,,,,,,,,,,,,,4,6,7,,,,,97,,,,,,,,,,,1,1,1,5,98,97,,,,,,,,,98,1,1,1,1,2,97,,,2,2,2,98,2,2,7,,,,,,,4,,,1,2,1,5,4,35,3503901,3,2,5,182997415,13900896000
2,46,4,3,1,2,2,2,1,99,4,5,5,5,5,5,5,5,,,,,,,,,,,99,,,,,,1,,,,,,,,,,,,,1,4,3,5,4,2,5,,,,,,,,8,,,,,,,,,,,,,,1,2,3,4,5,6,7,97,,,,,,,,,,,1,1,2,4,1,1,2,3,4,5,6,7,8,9,98,1,1,2,1,98,97,,,1,2,2,98,2,2,7,,,,,,,4,,,1,99,1,6,6,29,2900306,2,3,3,182997802,13900896000
2,55,4,1,14,1,2,2,1,1,5,5,5,99,5,2,5,5,,,,,,,,,,,1,,,,,,1,3,,,,,,,,,,,,1,3,4,5,4,2,1,,,,,,,,8,,,,,,,,,,,,,,2,,,,,,,1,,,,,97,,,,,,1,1,2,4,1,3,,,,,,,,,1,1,1,1,1,1,97,,,1,2,1,2,2,2,1,3,,,,,,4,,,1,2,1,6,6,29,2900306,2,3,3,182997803,13900896000
1,17,1,1,4,1,99,4,1,5,2,4,5,5,99,5,5,4,3,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,5,97,99,4,2,1,,,,,,,,1,,,,,,,2,,,,,,,1,,,,,,,97,,,,,,,,,,,2,2,2,2,2,6,,,,,,,,,2,2,1,1,98,98,97,,,1,98,2,1,1,2,99,,,,,,,4,,,1,99,99,98,99,29,2900306,2,3,3,182997804,13900896000
1,27,2,2,14,1,2,2,1,2,1,4,1,5,5,1,4,4,3,,,,,,,,,,1,5,6,,,,1,2,4,5,6,12,,,,,,,,1,3,5,2,4,2,4,5,6,,,,,,1,2,3,5,,,,2,2,2,,2,,,1,7,,,,,,1,,,,,1,,,,,,1,1,1,2,1,1,3,7,9,,,,,,1,1,1,1,1,1,2,,,1,1,1,1,1,2,1,2,5,6,,,,4,,,1,3,1,98,6,29,2900306,2,3,3,182997805,13900896000
1,35,3,3,1,7,2,2,1,2,4,4,4,2,4,2,2,2,,,,,,,,,,,1,4,5,,,,1,2,4,6,13,,,,,,,,,2,5,10,2,4,2,1,4,5,7,,,,,8,,,,,,,,,,,,,,1,2,3,4,5,6,7,97,,,,,,,,,,,2,2,2,2,2,2,3,4,6,,,,,,1,1,1,1,1,1,97,,,1,1,1,1,1,2,1,3,7,,,,,4,,,1,2,99,6,99,29,2900306,2,3,3,182997806,13900896000
1,35,3,2,14,2,2,2,3,2,4,2,5,5,4,4,4,4,,,,,,,,,,,1,5,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,1,5,3,2,3,2,1,3,4,6,,,,,8,,,,,,,,,,,,,,1,2,3,4,5,6,7,1,,,,,97,,,,,,4,4,4,1,4,1,,,,,,,,,2,2,1,1,2,2,97,,,1,1,1,1,2,2,2,6,,,,,,4,,,1,3,1,99,99,29,2900306,2,3,3,182997807,13900896000
1,29,2,3,14,2,2,2,2,2,5,5,5,5,5,5,5,5,,,,,,,,,,,1,5,,,,,1,2,4,,,,,,,,,,,1,8,3,5,3,2,1,2,4,,,,,,8,,,,,,,,,,,,,,1,2,3,,,,,97,,,,,,,,,,,2,1,2,5,1,7,,,,,,,,,1,1,1,1,1,1,97,,,1,2,2,2,2,2,1,2,3,7,,,,4,,,1,1,1,6,99,29,2900306,2,3,3,182997808,13900896000
2,41,3,3,14,1,2,2,1,1,5,2,1,2,4,5,5,5,,,,,,,,,,,1,2,3,,,,1,2,3,4,5,,,,,,,,,1,2,3,5,4,2,2,3,4,5,6,,,,2,,,,,,,,1,,,,,,1,2,3,4,5,6,7,97,,,,,,,,,,,5,5,5,5,5,1,2,3,,,,,,,1,2,1,1,1,2,97,,,1,1,1,2,2,2,1,2,3,,,,,4,,,1,1,1,98,99,29,2900306,2,3,3,182997809,13900896000
1,60,5,1,16,2,2,2,3,1,4,5,1,5,1,4,1,2,,,,,,,,,,,4,6,,,,,2,3,4,,,,,,,,,,,1,4,3,5,4,1,3,7,8,,,,,,1,2,3,,,,,2,2,2,,,,,2,4,,,,,,97,,,,,,,,,,,1,1,1,5,1,3,6,7,,,,,,,2,1,2,1,1,2,97,,,1,2,2,2,2,2,2,4,6,,,,,3,,,99,4,1,6,6,26,2611606,2,1,7,182997815,13900896000
2,40,3,1,15,3,2,99,1,1,5,5,5,5,4,1,5,5,,,,,,,,,,,1,5,,,,,3,13,,,,,,,,,,,,1,8,3,1,4,1,1,7,,,,,,,3,5,6,,,,,,,2,,2,2,,1,7,,,,,,1,2,5,,,2,4,,,,,1,1,2,5,1,99,,,,,,,,,1,98,98,98,1,98,97,,,1,2,2,2,2,2,1,3,,,,,,4,,,3,3,1,5,4,35,3550704,3,3,5,182997894,13900896000
1,47,4,2,10,97,1,1,3,5,5,5,5,5,5,5,1,5,,,,,,,,,,,99,,,,,,99,,,,,,,,,,,,,97,,,99,4,2,4,7,,,,,,,2,3,,,,,,,1,1,,,,,2,5,,,,,,97,,,,,,,,,,,3,3,3,1,98,1,7,,,,,,,,2,98,98,1,98,1,97,,,1,1,1,1,1,2,7,,,,,,,4,,,1,4,20,5,4,43,4302105,4,3,6,182997905,13900896000
1,34,2,3,15,2,2,2,2,1,5,5,1,5,5,5,5,5,,,,,,,,,,,2,3,4,,,,2,4,5,6,,,,,,,,,,1,4,3,2,4,2,2,3,7,8,,,,,1,2,3,7,,,,2,2,2,,,,1,1,3,5,6,,,,1,5,,,,10,,,,,,1,2,1,2,1,6,7,8,,,,,,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,2,4,,,,,4,,,1,2,1,5,5,24,2408102,2,1,7,182998125,13900896000
2,18,1,1,15,3,1,1,2,2,4,5,4,5,5,5,5,5,,,,,,,,,,,1,,,,,,1,4,,,,,,,,,,,,1,2,3,1,4,2,1,,,,,,,,6,,,,,,,,,,,,2,,1,,,,,,,97,,,,,,,,,,,2,2,3,3,1,1,,,,,,,,,1,1,1,1,1,1,97,,,1,1,1,1,1,1,1,4,,,,,,4,,,1,1,1,98,4,35,3550308,3,1,7,182998242,13900896000
2,55,4,3,11,1,2,2,3,1,4,4,1,5,5,1,1,2,,,,,,,,,,,1,2,5,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,1,4,8,1,4,2,2,4,6,,,,,,8,,,,,,,,,,,,,,1,6,,,,,,2,,,,,2,,,,,,1,1,1,1,1,8,,,,,,,,,1,1,1,1,1,2,97,,,1,2,2,2,2,2,1,7,,,,,,2,,,1,1,19,98,6,29,2929909,2,3,4,182998364,13900896000
1,64,5,1,14,2,2,2,3,2,5,5,1,1,5,5,1,5,,,,,,,,,,,2,4,,,,,5,,,,,,,,,,,,,1,2,97,1,4,1,2,7,,,,,,,3,6,7,,,,,,,1,,,2,1,1,2,3,5,6,7,,1,,,,,97,,,,,,1,1,1,1,1,99,,,,,,,,,1,1,1,1,1,2,4,,,1,1,1,1,1,2,1,3,6,7,,,,4,,,1,3,1,5,5,35,3537404,3,3,4,182998499,13900896000
