SEXO,IDADE,FX_ID,RACA,ESCOLARI,P1,P2,P3,P4,P5A,P5B,P5C,P5D,P5E,P5F,P5G,P5H,P5I,P6_1,P6_2,P6_3,P6_4,P6_5,P6_6,P6_7,P6_8,P6_9,P6_10,P7_1,P7_2,P7_3,P7_4,P7_5,P7_6,P8_1,P8_2,P8_3,P8_4,P8_5,P8_6,P8_7,P8_8,P8_9,P8_10,P8_11,P8_12,P8_13,P9_1,P9_2,P9_3,P10,P11,P12,P13_1,P13_2,P13_3,P13_4,P13_5,P13_6,P13_7,P13_8,P14_1,P14_2,P14_3,P14_4,P14_5,P14_6,P14_7,P15A,P15B,P15C,P15D,P15E,P15F,P15G,P16_1,P16_2,P16_3,P16_4,P16_5,P16_6,P16_7,P17_1,P17_2,P17_3,P17_4,P17_5,P18_1,P18_2,P18_3,P18_4,P18_5,P18_6,P19A,P19B,P19C,P19D,P19E,P20_1,P20_2,P20_3,P20_4,P20_5,P20_6,P20_7,P20_8,P20_9,P21A,P21B,P21C,P21D,P21E,P21F,P22_1,P22_2,P22_3,P23,P24A,P24B,P24C,P24D,P25,P26_1,P26_2,P26_3,P26_4,P26_5,P26_6,P26_7,P_PCD_1,P_PCD_2,P_PCD_3,P_ORIENT,P_POLITI,RELIGIAO,REND1,REND2,UF,MUNI,REGIAO,COND,PORTE,ID_IPEC,DATA_ENT
1,25,2,3,14,1,1,3,1,2,1,5,1,5,4,1,1,2,5,7,10,,,,,,,,1,,,,,,1,3,4,,,,,,,,,,,1,8,9,1,4,2,1,2,4,,,,,,1,,,,,,,2,,,,,,,2,3,,,,,,1,2,3,4,5,1,6,,,,,1,1,2,5,4,8,9,,,,,,,,1,1,1,1,1,2,97,,,1,2,1,2,2,1,2,6,7,,,,,4,,,5,2,20,5,4,33,3303500,3,2,7,183041513,13900982400
2,24,1,3,15,1,3,2,1,1,2,2,2,1,5,1,1,1,5,,,,,,,,,,1,5,,,,,1,2,13,,,,,,,,,,,1,3,4,1,4,2,1,5,7,,,,,,4,,,,,,,,,,2,,,,1,2,3,,,,,1,,,,,1,,,,,,1,1,1,2,1,1,2,4,,,,,,,1,1,1,1,1,1,1,,,1,2,1,1,1,2,2,3,4,,,,,3,,,1,1,2,6,99,33,3303500,3,2,7,183041514,13900982400
2,32,2,2,1,1,2,2,2,4,4,4,4,4,4,4,4,4,,,,,,,,,,,4,,,,,,1,2,4,,,,,,,,,,,1,5,97,4,4,2,4,,,,,,,,8,,,,,,,,,,,,,,1,2,5,,,,,97,,,,,,,,,,,4,2,4,2,4,9,,,,,,,,,1,1,1,1,1,1,97,,,1,1,1,1,2,2,3,,,,,,,2,,,1,1,20,6,6,27,2700300,2,3,6,183041554,13900982400
2,39,3,3,14,2,2,1,3,2,5,5,2,5,5,4,5,5,,,,,,,,,,,1,3,4,,,,1,5,6,,,,,,,,,,,3,8,9,99,4,2,4,7,8,,,,,,1,2,4,,,,,3,2,,2,,,,1,2,3,,,,,97,,,,,,,,,,,2,4,1,2,4,1,2,3,4,6,7,8,,,2,2,1,2,2,2,97,,,1,1,1,98,98,1,1,7,,,,,,4,,,1,3,2,98,5,35,3549904,3,3,7,183041624,13900982400
1,45,4,3,14,1,1,1,1,1,1,5,1,4,99,5,5,5,2,3,,,,,,,,,1,4,6,,,,1,4,6,,,,,,,,,,,1,4,8,1,4,2,1,3,4,,,,,,2,3,,,,,,,2,2,,,,,1,3,4,,,,,1,2,4,,,10,,,,,,1,1,2,4,98,97,,,,,,,,,1,1,1,1,1,98,97,,,1,2,2,2,2,2,1,3,6,,,,,4,,,1,4,20,6,6,15,1507953,1,3,5,183042251,13900982400
1,35,3,3,11,2,4,1,1,1,5,5,1,5,5,5,5,5,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,1,3,8,1,1,2,1,,,,,,,,2,,,,,,,,1,,,,,,6,,,,,,,97,,,,,,,,,,,1,1,1,1,1,6,8,,,,,,,,1,1,1,1,1,1,97,,,1,2,2,2,2,2,2,3,,,,,,4,,,1,2,20,6,5,33,3303500,3,2,7,183042428,13900982400
1,39,3,2,9,99,2,99,2,4,4,5,4,5,5,5,5,4,,,,,,,,,,,6,,,,,,99,,,,,,,,,,,,,1,99,,4,99,2,99,,,,,,,,99,,,,,,,,,,,,,,99,,,,,,,97,,,,,,,,,,,2,2,1,5,5,99,,,,,,,,,1,1,1,1,1,1,97,,,99,2,2,2,2,2,99,,,,,,,4,,,1,3,1,98,6,26,2605301,2,3,4,183042513,13900982400
2,45,4,3,14,2,2,2,1,1,4,5,2,99,99,5,5,5,,,,,,,,,,,5,6,,,,,1,3,,,,,,,,,,,,1,4,3,5,2,2,4,5,,,,,,,2,,,,,,,,2,,,,,,1,6,,,,,,97,,,,,,,,,,,1,1,1,2,1,1,4,,,,,,,,1,1,1,1,1,1,97,,,1,2,2,2,2,2,1,7,,,,,,4,,,1,1,1,6,6,52,5208004,5,3,5,183042590,13900982400
2,56,4,1,4,1,2,2,1,1,1,5,1,1,1,5,1,1,1,,,,,,,,,,1,2,3,4,5,6,2,,,,,,,,,,,,,1,8,3,1,4,2,1,3,,,,,,,8,,,,,,,,,,,,,,1,,,,,,,97,,,,,,,,,,,1,1,1,1,1,6,,,,,,,,,1,1,1,1,1,1,97,,,1,1,2,1,1,2,3,,,,,,,4,,,1,1,20,98,4,51,5100201,5,3,4,183042595,13900982400
1,25,2,3,12,2,2,2,2,2,4,5,1,5,5,5,5,5,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,1,2,3,1,3,2,1,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,2,,,,,,1,1,1,1,1,1,,,,,,,,,2,2,2,2,2,2,97,,,1,1,1,1,1,2,1,,,,,,,4,,,1,3,20,6,6,51,5100201,5,3,4,183042596,13900982400
